global_rank,continent_rank,score,antidiscrimination_legislation,marriage_civil_partners,adoption_allowed,transgender_rights,intersex_3rd_option,equal_age_of_consent,conversion_therapy,lgbt_marketing,religious_influence,hiv_travel_restrictions,anti_gay_laws,homossexuality_illegal,pride_banned,locals_hostile,prosecution,murders,death_sentences,continent_id,region_id
14,5,0,1,2,2,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,c3,c3r4
14,5,0,1,2,2,0,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,0,c3,c3r27
16,6,-2,1,0,0,0,-1,0,-1,1,-1,0,-1,0,0,0,0,0,0,c3,c3r24
17,7,-3,1,0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,c3,c3r0
17,7,-3,3,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,c3,c3r3
18,8,-4,1,0,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,c3,c3r2
18,8,-4,2,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,0,c3,c3r11
18,8,-4,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,c3,c3r22
19,9,-5,3,-1,0,-1,-1,0,-1,0,-2,0,-1,0,0,-1,0,0,0,c3,c3r5
21,10,-7,2,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,-2,0,-1,0,c3,c3r17
21,10,-7,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,0,c3,c3r25
22,11,-8,1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,-2,0,-1,0,c3,c3r21
23,12,-9,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,0,c3,c3r13
23,12,-9,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-2,0,-2,0,c3,c3r15
24,13,-10,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,0,-2,0,-1,0,c3,c3r1
24,13,-10,0,-1,0,-1,-1,0,-1,0,-2,0,-1,0,0,-2,0,-1,0,c3,c3r16
25,14,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c3,c3r9
